acl 2.2.52-3
sdl 1.2.15-8
sdl2 2.0.5-3
sdl2_image 2.0.1-2
sdl2_mixer 2.0.1-1
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-4
sdl_mixer 1.2.12-5
sdl_ttf 2.0.11-4
sed 4.4-1
shadow 4.4-3
shared-mime-info 1.8-1
slang 2.3.1a-1
smpeg 0.4.5-3
smpeg2 1:2.0.0-2
sound-theme-freedesktop 0.8-2
spacefm 1.0.5-3
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.19.3-1
squashfs-tools 4.3-4
startup-notification 0.12-5
steam 1.0.0.54-1
steam-native-runtime 1.0.0.54-3
sudo 1.8.20.p2-1
swt 4.6.2-3
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
tar 1.29-2
tdb 1.3.12-1
texinfo 6.3-2
thin-provisioning-tools 0.7.0-1
thunderbird 52.2.0-1
tilda 1.3.3-3
tslib 1.11-1
ttf-dejavu 2.37-1
ttf-google-fonts-git 20170614-1
tzdata 2017b-1
udevil 0.4.4-1
unrar 1:5.5.5-1
unzip 6.0-12
usbutils 008-1
util-linux 2.29.2-2
v4l-utils 1.12.5-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0628-1
vim-runtime 8.0.0628-1
vte-common 0.48.3-1
vte3 0.48.3-1
vulkan-icd-loader 1.0.51.0-1
vuze-extreme-mod 5.7.5.0-1
wayland 1.13.0-1
wayland-protocols 1.8-1
webkit2gtk 2.16.3-1
webrtc-audio-processing 0.3-2
which 2.21-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-6
wxgtk-common 3.0.3.1-6
wxgtk2 3.0.3.1-6
x265 2.4-1
xarchiver 0.5.4.10-1
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-libinput 0.25.1-1
xf86-input-synaptics 1.9.0-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.11.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.21-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.3-2
xorg-server-common 1.19.3-2
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xclock 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.4.0-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xproto 7.0.31-1
xterm 329-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.8.1-1
zenity 3.24.0-1
zeromq 4.2.1-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-1
